gs_name,gene_symbol
Acinar cells.Pancreas,CTRB1
Acinar cells.Pancreas,KLK1
Acinar cells.Pancreas,RBPJL
Acinar cells.Pancreas,PTF1A
Acinar cells.Pancreas,CELA3A
Acinar cells.Pancreas,PRSS1
Acinar cells.Pancreas,SPINK1
Acinar cells.Pancreas,ZG16
Acinar cells.Pancreas,CEL
Acinar cells.Pancreas,CELA2A
Acinar cells.Pancreas,CPB1
Acinar cells.Pancreas,CELA1
Acinar cells.Pancreas,RNASE1
Acinar cells.Pancreas,AMY2B
Acinar cells.Pancreas,CPA2
Acinar cells.Pancreas,CPA1
Acinar cells.Pancreas,CELA3B
Acinar cells.Pancreas,PNLIP
Acinar cells.Pancreas,CTRB2
Acinar cells.Pancreas,PLA2G1B
Acinar cells.Pancreas,PRSS2
Acinar cells.Pancreas,CLPS
Acinar cells.Pancreas,REG1A
Acinar cells.Pancreas,SYCN
Acinar cells.Pancreas,PNLIPRP1
Acinar cells.Pancreas,CTRC
Acinar cells.Pancreas,REG3A
Acinar cells.Pancreas,SERPINA3
Acinar cells.Pancreas,PRSS3
Acinar cells.Pancreas,REG1B
Acinar cells.Pancreas,CFB
Acinar cells.Pancreas,GDF15
Acinar cells.Pancreas,MUC1
Acinar cells.Pancreas,C15ORF48
Acinar cells.Pancreas,DUOXA2
Acinar cells.Pancreas,AKR1C3
Acinar cells.Pancreas,OLFM4
Acinar cells.Pancreas,GSTA1
Acinar cells.Pancreas,LGALS2
Acinar cells.Pancreas,PDZK1IP1
Acinar cells.Pancreas,RARRES2
Acinar cells.Pancreas,CXCL17
Acinar cells.Pancreas,UBD
Acinar cells.Pancreas,GSTA2
Acinar cells.Pancreas,ANPEP
Acinar cells.Pancreas,LYZ
Acinar cells.Pancreas,ANGPTL4
Acinar cells.Pancreas,ALDOB
Adipocyte progenitor cells.Connective tissue,CEBPA
Adipocyte progenitor cells.Connective tissue,EGFR
Adipocyte progenitor cells.Connective tissue,FGF10
Adipocyte progenitor cells.Connective tissue,GSC
Adipocyte progenitor cells.Connective tissue,MMP3
Adipocyte progenitor cells.Connective tissue,PPARG
Adipocyte progenitor cells.Connective tissue,TWIST2
Adipocyte progenitor cells.Connective tissue,GATA3
Adipocyte progenitor cells.Connective tissue,GLI1
Adipocyte progenitor cells.Connective tissue,SMO
Adipocyte progenitor cells.Connective tissue,STAB1
Adipocyte progenitor cells.Connective tissue,WISP2
Adipocyte progenitor cells.Connective tissue,WT1
Adipocyte progenitor cells.Connective tissue,SCARA5
Adipocyte progenitor cells.Connective tissue,HOXC8
Adipocyte progenitor cells.Connective tissue,TCF7L1
Adipocyte progenitor cells.Connective tissue,HOXC9
Adipocyte progenitor cells.Connective tissue,HOXC6
Adipocyte progenitor cells.Connective tissue,HOXC4
Adipocyte progenitor cells.Connective tissue,ZNF521
