IC	Gene	n_genes	phenotype
IC1	DLGAP5	212	G2M
IC1	KIF20A	212	G2M
IC1	CENPE	212	G2M
IC1	TPX2	212	G2M
IC1	CCNB1	212	G2M
IC1	MKI67	212	G2M
IC1	TOP2A	212	G2M
IC1	BUB1	212	G2M
IC1	ASPM	212	G2M
IC1	CDC20	212	G2M
IC1	HMMR	212	G2M
IC1	NDC80	212	G2M
IC1	CASC5	212	G2M
IC1	CCNB2	212	G2M
IC1	PLK1	212	G2M
IC1	NUSAP1	212	G2M
IC1	CENPF	212	G2M
IC1	UBE2C	212	G2M
IC1	PBK	212	G2M
IC1	BIRC5	212	G2M
IC1	AURKA	212	G2M
IC1	KIF2C	212	G2M
IC1	NUF2	212	G2M
IC1	KIF4A	212	G2M
IC1	BUB1B	212	G2M
IC1	CKAP2L	212	G2M
IC1	AURKB	212	G2M
IC1	PRC1	212	G2M
IC1	SGOL2	212	G2M
IC1	KIF23	212	G2M
IC1	CDCA8	212	G2M
IC1	DEPDC1	212	G2M
IC1	FAM64A	212	G2M
IC1	TTK	212	G2M
IC1	KIF14	212	G2M
IC1	CDKN3	212	G2M
IC1	NEK2	212	G2M
IC1	ANLN	212	G2M
IC1	NCAPG	212	G2M
IC1	PTTG1	212	G2M
IC1	RACGAP1	212	G2M
IC1	TROAP	212	G2M
IC1	CDCA2	212	G2M
IC1	GTSE1	212	G2M
IC1	PRR11	212	G2M
IC1	KIF11	212	G2M
IC1	HJURP	212	G2M
IC1	ECT2	212	G2M
IC1	C15orf23	212	G2M
IC1	KIF18A	212	G2M
IC1	CDCA3	212	G2M
IC1	ARHGAP11A	212	G2M
IC1	NCAPD2	212	G2M
IC1	CDC25C	212	G2M
IC1	SHCBP1	212	G2M
IC1	CEP55	212	G2M
IC1	CDK1	212	G2M
IC1	KIF15	212	G2M
IC1	KIF20B	212	G2M
IC1	IQGAP3	212	G2M
IC1	CKAP2	212	G2M
IC1	RRM2	212	G2M
IC1	GAS2L3	212	G2M
IC1	ARL6IP1	212	G2M
IC1	SKA3	212	G2M
